"data_base" "V1" "modalidade" "origem" "porte" "cliente" "carteira_ativa" "carteira_inadimplida_arrastada" "ativo_problematico" "a_vencer_ate_90_dias" "a_vencer_de_91_ate_360_dias" "a_vencer_de_361_ate_1080_dias" "a_vencer_de_1081_ate_1800_dias" "a_vencer_de_1801_ate_5400_dias" "a_vencer_acima_de_5400_dias" "Taxa_de_juros_Selic_acumulada_no_mes" "Selic_fixada.pelo_Copom" "IBC_Br_indice"
2012-06-30 1 "PF - Cartão de crédito" "Com destinação específica" "PF - Sem rendimento" "PF" 4001.64 0 0 802.74 2566.54 632.36 0 0 0 0.64 8.5 142.28
2012-06-30 2 "PF - Cartão de crédito" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 14240637727.58 827400452.05 1300153379.66 10798851880.18 2269376760 63703805.23 4211852.06 859155.93 0 0.64 8.5 142.28
2012-06-30 3 "PF - Cartão de crédito" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 11903130147.42 1565230206.67 2063303636.19 7065179903.87 2738807121.11 41080898.05 268597.6 54746.16 0 0.64 8.5 142.28
2012-06-30 4 "PF - Cartão de crédito" "Sem destinação específica" "PF - Indisponível" "PF" 53727.51 0 0 39793.27 13161.92 772.32 0 0 0 0.64 8.5 142.28
2012-06-30 5 "PF - Cartão de crédito" "Sem destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 9070189066.1 1090972999.95 1466385033.15 5618045287.47 1987031321.76 42031181.21 521676.69 110017.52 0 0.64 8.5 142.28
2012-06-30 6 "PF - Cartão de crédito" "Sem destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 9484090345.26 373660399.2 602419913.31 7218652990.72 1679088141.15 46669380.24 3279249.02 1285724.65 0 0.64 8.5 142.28
2012-06-30 7 "PF - Cartão de crédito" "Sem destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 6216204908.35 687990031.09 925813923.63 4045575166.21 1234490673.13 32179805.51 647950.97 147944.16 0 0.64 8.5 142.28
2012-06-30 8 "PF - Cartão de crédito" "Sem destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 8378124967.66 782460781.05 1070472497.52 5630662453.99 1639806244.65 46951237.33 703191.47 132523.5 0 0.64 8.5 142.28
2012-06-30 9 "PF - Cartão de crédito" "Sem destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 11281760700.81 771829645.6 1101124389.93 8040239910.44 2103552428.79 69825548.14 3644906.66 1402851.42 0 0.64 8.5 142.28
2012-06-30 10 "PF - Cartão de crédito" "Sem destinação específica" "PF - Sem rendimento" "PF" 22789906724.85 2121932154.93 2856715917.65 17040122641.89 2834122181.35 187600492.42 51513614.27 22436588.36 0 0.64 8.5 142.28
2012-06-30 11 "PF - Empréstimo com consignação em folha" "Com destinação específica" "PF - Sem rendimento" "PF" 7815182.62 5923.04 7801.39 916037.65 2336516.67 4289866.41 265846.43 0 0 0.64 8.5 142.28
2012-06-30 12 "PF - Empréstimo com consignação em folha" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 32630213924.36 818693083.89 1962859846.22 1030399334.78 3333035738.81 9621686175.96 9746338625.05 6528084595.08 340.59 0.64 8.5 142.28
2012-06-30 13 "PF - Empréstimo com consignação em folha" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 19452782479.26 449471584.46 682743160.16 1944421729.32 5292443389.95 9143741546.95 2756835878.23 103991579.24 85377.89 0.64 8.5 142.28
